subject	predicate	object	relation	primary_knowledge_source
KEGG:K00028	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00028	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00028	biolink:participates_in	KEGG:M00171	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:map00710	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:map03320	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:M00169	RO:0000056	infores:kegg
KEGG:K00029	biolink:participates_in	KEGG:M00172	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:map00020	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:map01210	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:M00009	RO:0000056	infores:kegg
KEGG:K00030	biolink:participates_in	KEGG:M00010	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map00020	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map00480	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map00720	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map01210	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map04146	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:map05230	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:M00009	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:M00010	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:M00173	RO:0000056	infores:kegg
KEGG:K00031	biolink:participates_in	KEGG:M00740	RO:0000056	infores:kegg
KEGG:K00032	biolink:participates_in	KEGG:map00030	RO:0000056	infores:kegg
KEGG:K00032	biolink:participates_in	KEGG:map00480	RO:0000056	infores:kegg
KEGG:K00032	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00032	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:map00030	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:map00480	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:M00004	RO:0000056	infores:kegg
KEGG:K00033	biolink:participates_in	KEGG:M00006	RO:0000056	infores:kegg
KEGG:K00034	biolink:participates_in	KEGG:map00030	RO:0000056	infores:kegg
KEGG:K00034	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00034	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00034	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00035	biolink:participates_in	KEGG:map00052	RO:0000056	infores:kegg
KEGG:K00035	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map00030	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map00480	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map05230	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:map05415	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:M00004	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:M00006	RO:0000056	infores:kegg
KEGG:K00036	biolink:participates_in	KEGG:M00008	RO:0000056	infores:kegg
KEGG:K00037	biolink:participates_in	KEGG:map00120	RO:0000056	infores:kegg
KEGG:K00037	biolink:participates_in	KEGG:map00140	RO:0000056	infores:kegg
KEGG:K00037	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00037	biolink:participates_in	KEGG:map05208	RO:0000056	infores:kegg
