orig_node	entity_uri
Butyricimonas	NCBITaxon:574697
Enterococcus faecalis	NCBITaxon:1351
Streptococcus sanguinis	NCBITaxon:1305
Ethanoligenens	NCBITaxon:253238
Moryella	NCBITaxon:437755
Lactonifactor	NCBITaxon:420345
Syntrophococcus	NCBITaxon:84036
Asaccharobacter	NCBITaxon:553372
Enterobacteriaceae	NCBITaxon:543
Bifidobacteriaceae	NCBITaxon:31953
Methanobrevibacter smithii	NCBITaxon:2173
Prevotellaceae	NCBITaxon:171552
Dorea	NCBITaxon:189330
Oscillospira	NCBITaxon:119852
Ralstonia	NCBITaxon:48736
Blautia coccoides	NCBITaxon:1532
Bacteroides fragilis	NCBITaxon:817
Solobacterium	NCBITaxon:123375
Lactobacillaceae	NCBITaxon:33958
Coriobacteriaceae	NCBITaxon:84107
Rothia	NCBITaxon:32207
Leptotrichia	NCBITaxon:32067
Haemophilus	NCBITaxon:724
Neisseria	NCBITaxon:482
Gemella	NCBITaxon:1378
Corynebacterium	NCBITaxon:1716
Granulicatella	NCBITaxon:117563
Pasteurellaceae	NCBITaxon:712
Micrococcaceae	NCBITaxon:1268
Carnobacteriaceae	NCBITaxon:186828
Porphyromonadaceae	NCBITaxon:171551
Staphylococcaceae	NCBITaxon:90964
Enterococcaceae	NCBITaxon:81852
Clostridiales XIV	NCBITaxon:not_found
Streptococcaceae	NCBITaxon:1300
Fusobacteriaceae	NCBITaxon:203492
Anaerovorax	NCBITaxon:109326
Peptococcus	NCBITaxon:2740
Catenibacterium	NCBITaxon:135858
Lactococcus	NCBITaxon:1357
Asteroleplasma	NCBITaxon:2152
Lactobacillus fermentum	NCBITaxon:1613
Shigella flexneri	NCBITaxon:623
Listeria	NCBITaxon:1637
Enterococcus faecium	NCBITaxon:1352
Fusobacterium varium	NCBITaxon:856
TM7	NCBITaxon:not_found
Oxalobacter	NCBITaxon:846
Raoultella	NCBITaxon:160674
Dehalobacter	NCBITaxon:56112
Fusibacter	NCBITaxon:76008
Oxobacter	NCBITaxon:44261
Parasporobacterium	NCBITaxon:115543
Bacteroides ovatus	NCBITaxon:28116
Bacteroides plebeius	NCBITaxon:310297
Prevotella oralis	NCBITaxon:28134
Prevotella ruminicola	NCBITaxon:839
