subject	predicate	object	relation	primary_knowledge_source
COG:COG0047	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0048	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0049	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0050	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0051	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0052	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0053	biolink:subclass_of	COG_CAT:P	rdfs:subClassOf	infores:cog
COG:COG0054	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0055	biolink:subclass_of	COG_CAT:C	rdfs:subClassOf	infores:cog
COG:COG0056	biolink:subclass_of	COG_CAT:C	rdfs:subClassOf	infores:cog
COG:COG0057	biolink:subclass_of	COG_CAT:G	rdfs:subClassOf	infores:cog
COG:COG0058	biolink:subclass_of	COG_CAT:G	rdfs:subClassOf	infores:cog
COG:COG0059	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0059	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0060	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0061	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0062	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0063	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0064	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0065	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0066	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0067	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0068	biolink:subclass_of	COG_CAT:O	rdfs:subClassOf	infores:cog
COG:COG0069	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0070	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0071	biolink:subclass_of	COG_CAT:O	rdfs:subClassOf	infores:cog
COG:COG0072	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0073	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0074	biolink:subclass_of	COG_CAT:C	rdfs:subClassOf	infores:cog
COG:COG0075	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0075	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0076	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0077	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0078	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0079	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0080	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
