id	preferred_term	identifier	mapping_status	ontology_id	ontology_source	mapping_quality	occurrences	parent_ingredient	variant_type
mediadive.ingredient:1413	TNM-FH Medium		UNMAPPED				1		
mediadive.ingredient:1705	Todd Hewitt Broth		UNMAPPED				1		
mediadive.ingredient:2371	Tomato extract		UNMAPPED				1		
mediadive.ingredient:1812	Trace element solution SL12		UNMAPPED				1		
mediadive.ingredient:1551	Trace metal solution		UNMAPPED				1		
mediadive.ingredient:897	Trace mineral solution		UNMAPPED				1		
mediadive.ingredient:1031	Trace minerals		UNMAPPED				1		
mediadive.ingredient:1883	Trace minerals see Medium No. 151		UNMAPPED				1		
mediadive.ingredient:1833	Trace minerals see Medium No. 197		UNMAPPED				1		
mediadive.ingredient:1982	Trace vitamins solution see Medium No. 284		UNMAPPED				1		
mediadive.ingredient:1530	Tropic Marine salt		UNMAPPED				1		
mediadive.ingredient:662	Tryptic Digest of beef heart		UNMAPPED				1		
mediadive.ingredient:1617	Trypticase soy agar		UNMAPPED				1		
mediadive.ingredient:1165	Tryptose-phosphate		UNMAPPED				1		
mediadive.ingredient:2163	Tryptose-phosphate broth		UNMAPPED				1		
mediadive.ingredient:1616	V8 canned vegetable juice		UNMAPPED				1		
mediadive.ingredient:579	Veal infusion broth		UNMAPPED				1		
mediadive.ingredient:1845	Vitamin B12 solution see Medium No. 403		UNMAPPED				1		
mediadive.ingredient:284	Vitamins solution		UNMAPPED				1		
mediadive.ingredient:2065	Vitamins-solution		UNMAPPED				1		
mediadive.ingredient:1138	Vitox		UNMAPPED				1		
mediadive.ingredient:2389	water distilled or tapwater		UNMAPPED				1		
mediadive.ingredient:2346	Wheat Grains		UNMAPPED				1		
mediadive.ingredient:1621	Whole egg		UNMAPPED				1		
mediadive.ingredient:2140	Wilkins Chalgrene Anaerobe Broth		UNMAPPED				1		
mediadive.ingredient:2093	Wilkins-Chalgren-Anaerobe-Broth		UNMAPPED				1		
mediadive.ingredient:1826	X10 Jamarin S		UNMAPPED				1		
mediadive.ingredient:2079	Yeast cell paste		UNMAPPED				1		
mediadive.ingredient:1507	Yeast Nitrogen Base		UNMAPPED				1		
mediadive.ingredient:1683	YM broth		UNMAPPED				1		
mediadive.ingredient:782	ß-NAD		UNMAPPED				1		
mediadive.ingredient:1340	ß-nicotinamide adenine dinucleotide		UNMAPPED				1		
mediadive.ingredient:2202	α-D-Glucose monohydrate		UNMAPPED				1		
