subject	predicate	object	relation	provided_by
CHEBI:17568	biolink:binds_to	A0A9Q7GEP6		Uniprot
CHEBI:17568	biolink:binds_to	A0A358LD91		Uniprot
CHEBI:17568	biolink:binds_to	A0A3C0RSG3		Uniprot
CHEBI:17568	biolink:binds_to	A0A369MJA5		Uniprot
CHEBI:17568	biolink:binds_to	A0A349MSZ9		Uniprot
CHEBI:17568	biolink:binds_to	A0A6N8BS23		Uniprot
CHEBI:17712	biolink:binds_to	A0A349MY43		Uniprot
CHEBI:17712	biolink:binds_to	Q9AGS1		Uniprot
CHEBI:17712	biolink:binds_to	A0A369MGX3		Uniprot
CHEBI:17712	biolink:binds_to	A0A7X7BSQ4		Uniprot
CHEBI:17712	biolink:binds_to	A0A369N9B2		Uniprot
CHEBI:17754	biolink:binds_to	A0A7X9IID1		Uniprot
CHEBI:17754	biolink:binds_to	A0A349MYD7		Uniprot
CHEBI:17754	biolink:binds_to	A0A6N8BQ47		Uniprot
CHEBI:17754	biolink:binds_to	A0A934DMS7		Uniprot
CHEBI:178002	biolink:binds_to	A0A369NBY5		Uniprot
CHEBI:178002	biolink:binds_to	A0A811IFB5		Uniprot
CHEBI:178002	biolink:binds_to	A0A369NA50		Uniprot
CHEBI:178002	biolink:binds_to	A0A2X3WP09		Uniprot
CHEBI:178002	biolink:binds_to	A0A3G6JIK4		Uniprot
CHEBI:178002	biolink:binds_to	A0A353D9U4		Uniprot
CHEBI:178002	biolink:binds_to	A0A7U7H1I4		Uniprot
CHEBI:178002	biolink:binds_to	A0A6N8BJ47		Uniprot
CHEBI:178002	biolink:binds_to	A0A369M995		Uniprot
CHEBI:178002	biolink:binds_to	A0A349MXW2		Uniprot
CHEBI:178002	biolink:binds_to	A0A5C5BWG8		Uniprot
CHEBI:178002	biolink:binds_to	A0A933Z0D6		Uniprot
CHEBI:178002	biolink:binds_to	A0A6B9VMN7		Uniprot
CHEBI:178002	biolink:binds_to	A0A358LER3		Uniprot
CHEBI:178002	biolink:binds_to	A0A3C0RR65		Uniprot
CHEBI:178002	biolink:binds_to	A0A844RHA6		Uniprot
CHEBI:18151	biolink:binds_to	A0A6N8BJD9		Uniprot
CHEBI:18151	biolink:binds_to	A0A933Z3U7		Uniprot
CHEBI:18151	biolink:binds_to	A0A7X9FNW8		Uniprot
CHEBI:18151	biolink:binds_to	A0A3C0RTU6		Uniprot
CHEBI:18151	biolink:binds_to	A0A3D1UDF2		Uniprot
CHEBI:18151	biolink:binds_to	A0A3D1U6R3		Uniprot
CHEBI:18151	biolink:binds_to	A0A6N8BND6		Uniprot
CHEBI:18408	biolink:binds_to	A0A3D1U8M6		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UBA2		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQG9		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XQQ5		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UB81		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5C1N0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MW63		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XQN7		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XQA7		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XQR2		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C9X4		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UA91		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQI9		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7H2P1		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LE65		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MWE3		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XPW6		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQG3		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XPR5		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MV77		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQD1		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQ78		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LDZ4		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQ58		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CC35		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BPX2		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LDU0		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CCP8		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BSJ2		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C8I4		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LEI7		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RRC8		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BR43		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C5V8		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XR61		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XR43		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UFF4		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5BWM0		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5BWW3		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5BXK3		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BSD1		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C791		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LFP1		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BRJ9		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MXQ6		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BRN6		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BR31		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XQX0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MXK0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MXD5		Uniprot
CHEBI:18420	biolink:binds_to	A0A2X3UGR7		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XQV2		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7H373		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XRH7		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C7Y6		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQW0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MX19		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C8A3		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQQ7		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XQT8		Uniprot
CHEBI:18420	biolink:binds_to	A0A369N060		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5C1L4		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BRK1		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5C104		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UCX0		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UEC7		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MY06		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U8D2		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LCP5		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MQQ5		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BJ36		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5CAZ4		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U8C3		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BJ23		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MRQ0		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CMD3		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BUX3		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U8Y5		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MY40		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LCQ4		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U8N2		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U949		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5CB62		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U846		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BLA1		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N2YWW6		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BWD5		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BW89		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U7G3		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MPV5		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BJF1		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U9E8		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U7Z5		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MQ30		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MXX4		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MQ39		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MQ73		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U6M3		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LCK3		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U8Y1		Uniprot
