id	xref
UPA:UCR00372	RHEA:14092
UPA:UCR00396	KEGG:R00396
UPA:UCR00396	METACYC:ALANINE-DEHYDROGENASE-RXN
UPA:UCR00396	RHEA:18408
UPA:UCR00401	KEGG:R00401
UPA:UCR00401	METACYC:ALARACECAT-RXN
UPA:UCR00401	RHEA:20252
UPA:UCR00405	KEGG:R00405
UPA:UCR00405	METACYC:SUCCCOASYN-RXN
UPA:UCR00405	RHEA:17664
UPA:UCR00410	KEGG:R00410
UPA:UCR00410	METACYC:RXNI-2
UPA:UCR00410	RHEA:25483
UPA:UCR00411	KEGG:R00411
UPA:UCR00411	METACYC:SUCCGLUDESUCC-RXN
UPA:UCR00411	RHEA:15172
UPA:UCR00412	KEGG:R00412
UPA:UCR00412	RHEA:16360
UPA:UCR00416	KEGG:R00416
UPA:UCR00416	METACYC:NAG1P-URIDYLTRANS-RXN
UPA:UCR00416	RHEA:13512
UPA:UCR00425	KEGG:R00425
UPA:UCR00425	METACYC:GTP-CYCLOHYDRO-II-RXN
UPA:UCR00425	RHEA:23707
UPA:UCR00428	KEGG:R00428
UPA:UCR00429	KEGG:R00429
UPA:UCR00429	METACYC:GTPPYPHOSKIN-RXN
UPA:UCR00429	RHEA:22091
UPA:UCR00451	KEGG:R00451
UPA:UCR00451	METACYC:DIAMINOPIMDECARB-RXN
UPA:UCR00451	RHEA:15104
UPA:UCR00469	KEGG:R00469
UPA:UCR00469	METACYC:UREIDOGLYCOLATE-HYDROLASE-RXN
UPA:UCR00469	RHEA:19812
UPA:UCR00472	KEGG:R00472
UPA:UCR00472	METACYC:MALSYN-RXN
UPA:UCR00472	RHEA:18184
UPA:UCR00475	KEGG:R00475
UPA:UCR00475	METACYC:RXN-969
UPA:UCR00475	RHEA:25314
UPA:UCR00476	KEGG:R00476
UPA:UCR00476	METACYC:GLYCOLATEDEHYDRO-RXN
UPA:UCR00476	RHEA:21267
UPA:UCR00479	KEGG:R00479
UPA:UCR00479	METACYC:ISOCIT-CLEAV-RXN
UPA:UCR00479	RHEA:13248
UPA:UCR00480	KEGG:R00480
UPA:UCR00480	METACYC:ASPARTATEKIN-RXN
UPA:UCR00480	RHEA:23779
UPA:UCR00481	KEGG:R00481
UPA:UCR00481	RHEA:25879
UPA:UCR00483	KEGG:R00483
UPA:UCR00483	METACYC:ASNSYNA-RXN
UPA:UCR00483	RHEA:11375
UPA:UCR00489	KEGG:R00489
UPA:UCR00489	METACYC:ASPDECARBOX-RXN
UPA:UCR00489	RHEA:19500
UPA:UCR00497	KEGG:R00497
UPA:UCR00497	METACYC:GLUTATHIONE-SYN-RXN
UPA:UCR00497	RHEA:13560
UPA:UCR00509	KEGG:R00509
UPA:UCR00509	METACYC:ADENYLYLSULFKIN-RXN
UPA:UCR00509	RHEA:24155
UPA:UCR00512	KEGG:R00512
UPA:UCR00512	METACYC:RXN-11832
UPA:UCR00512	RHEA:11603
UPA:UCR00513	KEGG:R00513
UPA:UCR00513	METACYC:CYTIKIN-RXN
UPA:UCR00513	RHEA:24677
UPA:UCR00525	KEGG:R00525
UPA:UCR00525	METACYC:N-FORMYLGLUTAMATE-DEFORMYLASE-RXN
UPA:UCR00525	RHEA:12479
UPA:UCR00527	KEGG:R00527
UPA:UCR00527	METACYC:S-FORMYLGLUTATHIONE-HYDROLASE-RXN
UPA:UCR00527	RHEA:14964
UPA:UCR00529	KEGG:R00529
UPA:UCR00529	METACYC:SULFATE-ADENYLYLTRANS-RXN
UPA:UCR00529	RHEA:18136
UPA:UCR00549	KEGG:R00549
UPA:UCR00549	METACYC:RIBOFLAVINKIN-RXN
UPA:UCR00549	RHEA:14360
UPA:UCR00551	KEGG:R00551
