id	name
HGNC:11474	SURF1
HGNC:11480	SVIL
HGNC:1149	BUB1B
HGNC:11494	SYN1
HGNC:11495	SYN2
HGNC:11497	SYNGAP1
HGNC:11503	SYNJ1
HGNC:11506	SYP
HGNC:11509	SYT1
HGNC:11510	SYT2
HGNC:11515	TBXT
HGNC:1152	BVES
HGNC:11521	TAC3
HGNC:11528	TACR3
HGNC:11529	EPCAM
HGNC:11530	TACSTD2
HGNC:11535	TAF1
HGNC:11536	TAF2
HGNC:11538	TAF4B
HGNC:11540	TAF6
HGNC:11547	TAF15
HGNC:11551	BRF1
HGNC:11556	TAL1
HGNC:11557	TAL2
HGNC:11559	TALDO1
HGNC:11566	TAPBP
HGNC:11571	TARDBP
HGNC:11573	TAT
HGNC:11577	TAFAZZIN
HGNC:11581	TBCD
HGNC:11582	TBCE
HGNC:11584	TBK1
HGNC:11588	TBP
HGNC:11592	TBX1
HGNC:11594	TBX15
HGNC:11595	TBX18
HGNC:11596	TBX19
HGNC:11598	TBX20
HGNC:11599	TBX21
HGNC:1160	TWNK
HGNC:11600	TBX22
HGNC:11602	TBX3
HGNC:11603	TBX4
HGNC:11604	TBX5
HGNC:11605	TBX6
HGNC:11608	TBXA2R
HGNC:11609	TBXAS1
HGNC:1161	CEP55
HGNC:11610	TCAP
HGNC:11621	HNF1A
HGNC:11623	TCF12
HGNC:11630	HNF1B
HGNC:11633	TCF3
HGNC:11634	TCF4
HGNC:11641	TCF7L2
HGNC:11642	ZEB1
HGNC:11647	TCIRG1
HGNC:11653	TCN2
HGNC:11654	TCOF1
HGNC:11708	TDO2
HGNC:1171	ELP4
HGNC:11714	TEAD1
HGNC:11720	TECTA
HGNC:11724	TEK
HGNC:11727	TERC
HGNC:11730	TERT
HGNC:11733	TEX11
HGNC:11740	TF
HGNC:11741	TFAM
HGNC:11742	TFAP2A
HGNC:11743	TFAP2B
HGNC:11752	TFE3
HGNC:11758	TFG
HGNC:11762	TFR2
HGNC:11763	TFRC
HGNC:11764	TG
HGNC:11766	TGFB1
HGNC:11768	TGFB2
HGNC:11769	TGFB3
HGNC:11771	TGFBI
HGNC:11772	TGFBR1
HGNC:11773	TGFBR2
HGNC:11776	TGIF1
HGNC:11777	TGM1
HGNC:11779	TGM3
HGNC:11781	TGM5
HGNC:11782	TH
HGNC:11784	THBD
HGNC:11786	THBS2
HGNC:11791	TCHH
HGNC:11795	THPO
HGNC:11796	THRA
HGNC:11799	THRB
HGNC:118	ACO2
HGNC:11802	TIA1
HGNC:11811	KLF11
HGNC:11812	TRIM24
HGNC:11817	TIMM8A
HGNC:11822	TIMP3
HGNC:11824	TINF2
HGNC:11825	NKX2-1
HGNC:11828	TJP2
HGNC:11831	TK2
HGNC:11834	TKT
HGNC:11843	TLL1
HGNC:11847	TLR1
HGNC:11848	TLR2
HGNC:11849	TLR3
HGNC:11850	TLR4
HGNC:11851	TLR5
HGNC:11854	TSPAN7
HGNC:11875	TMPO
HGNC:11892	TNF
HGNC:11896	TNFAIP3
HGNC:119	ACOX1
HGNC:1190	NPAP1
HGNC:11905	TNFRSF10B
HGNC:11908	TNFRSF11A
HGNC:11909	TNFRSF11B
HGNC:11916	TNFRSF1A
HGNC:11918	TNFRSF4
HGNC:11919	CD40
HGNC:11920	FAS
HGNC:11922	CD27
HGNC:11926	TNFSF11
HGNC:11934	TNFSF4
HGNC:11935	CD40LG
HGNC:11936	FASLG
HGNC:11937	CD70
HGNC:11943	TNNC1
HGNC:11946	TNNI2
HGNC:11947	TNNI3
HGNC:11948	TNNT1
HGNC:11949	TNNT2
HGNC:11950	TNNT3
HGNC:11957	MED12
HGNC:11960	GIGYF2
HGNC:11976	TNXB
HGNC:11990	TOP2B
HGNC:11998	TP53
HGNC:120	ACOX2
HGNC:12009	TPI1
HGNC:12010	TPM1
HGNC:12011	TPM2
HGNC:12012	TPM3
HGNC:12013	TPM4
HGNC:12014	TPMT
HGNC:12015	TPO
HGNC:12029	TRAC
HGNC:12033	TRAF3
HGNC:12261	TRDN
HGNC:12266	TREH
HGNC:12269	TREX1
HGNC:1228	SERPING1
HGNC:12298	TRH
HGNC:123	ACP2
HGNC:12303	TRIO
HGNC:12305	TRIP11
HGNC:12309	ZNHIT3
HGNC:12310	TRIP4
HGNC:1232	EGLN1
HGNC:12335	TRPC3
HGNC:12338	TRPC6
HGNC:12340	TRPS1
HGNC:12362	TSC1
HGNC:12363	TSC2
HGNC:12367	TSFM
HGNC:12370	CEP41
HGNC:12371	RSPH1
HGNC:12372	TSHB
HGNC:12373	TSHR
HGNC:12382	TSPYL1
HGNC:12399	MYOT
HGNC:124	ACP5
HGNC:12403	TTN
HGNC:12404	TTPA
HGNC:12405	TTR
HGNC:12406	TUB
HGNC:12407	TUBA4A
HGNC:1241	C1QA
HGNC:12410	TUBA8
HGNC:12412	TUBB2A
HGNC:12417	TUBG1
HGNC:1242	C1QB
HGNC:12420	TUFM
HGNC:12423	TULP1
HGNC:12428	TWIST1
HGNC:12440	TYK2
HGNC:12442	TYR
HGNC:12449	TYROBP
HGNC:1245	C1QC
HGNC:12450	TYRP1
HGNC:1246	C1R
HGNC:12463	UBB
HGNC:12469	UBA1
HGNC:1247	C1S
HGNC:12472	UBE2A
HGNC:1248	C2
HGNC:12496	UBE3A
HGNC:12502	SUMO1
HGNC:12509	UBQLN2
HGNC:12513	UCHL1
HGNC:12517	UCP1
HGNC:12519	UCP3
HGNC:12530	UGT1A1
HGNC:12559	UMOD
HGNC:12563	UMPS
HGNC:12565	UNC119
HGNC:12572	UNG
HGNC:12582	UQCRB
HGNC:12586	UQCRC2
HGNC:12591	UROD
HGNC:12592	UROS
HGNC:12593	USF1
HGNC:12597	USH1C
HGNC:1260	CFAP410
HGNC:12601	USH2A
HGNC:12605	CLRN1
HGNC:12630	USP7
HGNC:12631	USP8
HGNC:12632	USP9X
HGNC:12633	USP9Y
HGNC:12637	KDM6A
HGNC:12642	VAMP1
HGNC:12649	VAPB
HGNC:12660	VAX1
HGNC:12665	VCL
HGNC:12666	VCP
HGNC:12668	VCY
HGNC:12679	VDR
HGNC:1268	TSPEAR
HGNC:12680	VEGFA
HGNC:12682	VEGFC
HGNC:12687	VHL
HGNC:12692	VIM
HGNC:12698	VLDLR
HGNC:12703	BEST1
HGNC:12712	VPS33B
HGNC:12718	VRK1
HGNC:12723	VSX1
HGNC:12726	VWF
HGNC:12731	WAS
HGNC:12736	WIPF1
HGNC:12744	MLXIPL
HGNC:12762	WFS1
HGNC:12765	FOXN1
HGNC:12766	NSD2
HGNC:12771	CCN6
HGNC:12774	WNT1
HGNC:12775	WNT10B
HGNC:12782	WNT3
HGNC:12783	WNT4
HGNC:12784	WNT5A
HGNC:12786	WNT7A
HGNC:12791	WRN
HGNC:12796	WT1
HGNC:12799	WWOX
HGNC:12801	XBP1
HGNC:12805	XDH
HGNC:12811	XK
HGNC:12814	XPA
HGNC:12816	XPC
HGNC:12823	XPNPEP2
HGNC:12827	XPR1
HGNC:12829	XRCC2
HGNC:12830	XRCC3
HGNC:12831	XRCC4
HGNC:12840	YARS1
HGNC:12843	YME1L1
HGNC:12858	ZAP70
HGNC:12872	ZIC1
HGNC:12873	ZIC2
HGNC:12874	ZIC3
HGNC:12877	ZMPSTE24
HGNC:129	ACTA1
HGNC:12926	ZNF141
HGNC:12930	ZBTB16
HGNC:12933	ZNF148
HGNC:12974	RNF113A
HGNC:130	ACTA2
HGNC:1301	CFAP298
HGNC:13013	KAT6A
HGNC:13030	ZBTB18
HGNC:1304	MRAP
HGNC:13128	ZNF711
HGNC:13156	ZNF81
HGNC:13164	CNBP
HGNC:13176	IKZF1
HGNC:1318	C3
HGNC:13187	ZP1
HGNC:132	ACTB
HGNC:13201	ADAMTS10
HGNC:13203	AICDA
HGNC:1321	TIMMDC1
HGNC:13210	ARL6
HGNC:13211	ATP2C1
HGNC:13221	BCL11A
HGNC:13222	BCL11B
HGNC:1323	C4A
HGNC:1324	C4B
HGNC:13243	LMBR1
HGNC:13254	FTSJ1
HGNC:13273	DUOX2
HGNC:13281	ESPN
HGNC:1330	MYOZ2
HGNC:1331	C5
HGNC:13339	KIF4A
HGNC:13345	LPIN1
HGNC:13356	MCOLN1
HGNC:13387	NEK8
HGNC:1339	C6
HGNC:13394	NPHS2
HGNC:13398	NSDHL
HGNC:13406	PCLO
HGNC:13420	PRUNE1
HGNC:13429	RLIM
HGNC:1343	TRAF3IP2
HGNC:13433	ROBO3
HGNC:13436	RPGRIP1
HGNC:13444	SLC2A10
HGNC:13446	SLC2A9
HGNC:1346	C7
HGNC:13478	UBE3B
HGNC:1348	SAMD9
HGNC:13481	UNC93B1
HGNC:13486	USP27X
HGNC:13487	VPS35
HGNC:1349	SAMD9L
HGNC:13503	ZBTB20
HGNC:13508	BPY2
HGNC:13517	CLIC5
HGNC:1352	C8A
HGNC:1353	C8B
HGNC:13530	RXYLT1
HGNC:13533	ATP8A2
HGNC:13556	IFT122
HGNC:1356	ERLIN2
HGNC:1358	C9
HGNC:13586	FBXO7
HGNC:13601	FBXL4
HGNC:1362	FRRS1L
HGNC:1366	ADAMTS13
HGNC:13666	AAAS
HGNC:13672	KLF13
HGNC:13681	DCHS1
HGNC:1371	CA12
HGNC:13711	POF1B
HGNC:13723	CTCF
HGNC:1373	CA2
HGNC:13733	CDH23
HGNC:13743	ALOXE3
HGNC:1375	CA4
HGNC:1377	CA5A
HGNC:13771	SOST
HGNC:13780	GFM1
HGNC:13797	PRX
HGNC:13806	NEUROG3
HGNC:13815	BCO1
HGNC:13818	SLC12A5
HGNC:1382	CA8
HGNC:13825	ASPSCR1
HGNC:13829	WNT10A
HGNC:13830	CNTNAP2
HGNC:13831	WDR11
HGNC:13841	ADGRG6
