subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:1912090	biolink:occurs_in	mediadive.medium:110a	BAO:0002924	bacdive:140415
NCBITaxon:1872086	biolink:occurs_in	mediadive.medium:1613	BAO:0002924	bacdive:132237
NCBITaxon:1009370	biolink:occurs_in	mediadive.medium:311c	BAO:0002924	bacdive:17111
NCBITaxon:1886	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:14912
NCBITaxon:28185	biolink:occurs_in	mediadive.medium:1264	BAO:0002924	bacdive:14331
NCBITaxon:394751	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:12701
NCBITaxon:33	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9759
NCBITaxon:797210	biolink:occurs_in	mediadive.medium:1138	BAO:0002924	bacdive:5973
NCBITaxon:891	biolink:occurs_in	mediadive.medium:95	BAO:0002924	bacdive:4227
NCBITaxon:83450	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3475
NCBITaxon:1423	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:979
NCBITaxon:1408	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:780
NCBITaxon:1404	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:726
NCBITaxon:2871696	biolink:occurs_in	mediadive.medium:822	BAO:0002924	bacdive:132473
NCBITaxon:428993	biolink:occurs_in	mediadive.medium:1a	BAO:0002924	bacdive:24680
NCBITaxon:408067	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:16426
NCBITaxon:1892	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:14993
NCBITaxon:43767	biolink:occurs_in	mediadive.medium:535	BAO:0002924	bacdive:10846
NCBITaxon:1962667	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:10419
NCBITaxon:59813	biolink:occurs_in	mediadive.medium:354	BAO:0002924	bacdive:8245
NCBITaxon:91891	biolink:occurs_in	mediadive.medium:585	BAO:0002924	bacdive:6716
NCBITaxon:876	biolink:occurs_in	mediadive.medium:63	BAO:0002924	bacdive:4075
NCBITaxon:83460	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3709
