id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
mediadive.medium:535b	biolink:ChemicalEntity	REACTIVATION WITH LIQUID MEDIUM (DSMZ Medium 535b)											
NCBITaxon:1506	biolink:OrganismalEntity	Clostridium sp.											
NCBITaxon:459347	biolink:OrganismalEntity	Solibacillus cecembensis											
NCBITaxon:2358141	biolink:OrganismalEntity	Anaerotignum faecicola											
mediadive.medium:104b	biolink:ChemicalEntity	PY + X MEDIUM (DSMZ Medium 104b)											
NCBITaxon:1912090	biolink:OrganismalEntity	Gluceribacter canis											
mediadive.medium:110a	biolink:ChemicalEntity	CMC MEDIUM (N2/CO2) (DSMZ Medium 110a)											
NCBITaxon:1872086	biolink:OrganismalEntity	Ensifer sp.											
mediadive.medium:1613	biolink:ChemicalEntity	FLOUR MEDIUM (DSMZ Medium 1613)											
NCBITaxon:1009370	biolink:OrganismalEntity	Acetonema longum DSM 6540											
mediadive.medium:311c	biolink:ChemicalEntity	SPOROMUSA ACIDOVORANS MEDIUM (DSMZ Medium 311c)											
NCBITaxon:1886	biolink:OrganismalEntity	Streptomyces albidoflavus											
NCBITaxon:28185	biolink:OrganismalEntity	Spirochaeta sp.											
mediadive.medium:1264	biolink:ChemicalEntity	SPIROCHAETA SP. MEDIUM (DSMZ Medium 1264)											
NCBITaxon:394751	biolink:OrganismalEntity	Pseudoalteromonas arctica											
NCBITaxon:33	biolink:OrganismalEntity	Myxococcus fulvus											
NCBITaxon:797210	biolink:OrganismalEntity	Halopiger xanaduensis SH-6											
mediadive.medium:1138	biolink:ChemicalEntity	HALOPIGER MEDIUM (DSMZ Medium 1138)											
NCBITaxon:891	biolink:OrganismalEntity	Desulfuromonas acetoxidans											
mediadive.medium:95	biolink:ChemicalEntity	DESULFUROMONAS ACETOXIDANS MEDIUM (DSMZ Medium 95)											
NCBITaxon:83450	biolink:OrganismalEntity	Archangium minus											
NCBITaxon:1423	biolink:OrganismalEntity	Bacillus subtilis											
NCBITaxon:1408	biolink:OrganismalEntity	Bacillus pumilus											
NCBITaxon:1404	biolink:OrganismalEntity	Priestia megaterium											
NCBITaxon:2871696	biolink:OrganismalEntity	Hydrogenophilus sp.											
mediadive.medium:822	biolink:ChemicalEntity	FRR-6, FRR-8 MEDIUM (DSMZ Medium 822)											
NCBITaxon:428993	biolink:OrganismalEntity	Pseudoxanthomonas indica											
mediadive.medium:1a	biolink:ChemicalEntity	REACTIVATION WITH LIQUID MEDIUM 1 (DSMZ Medium 1a)											
NCBITaxon:408067	biolink:OrganismalEntity	Yinghuangia seranimata											
NCBITaxon:1892	biolink:OrganismalEntity	Streptomyces anulatus											
NCBITaxon:43767	biolink:OrganismalEntity	Prescottella equi											
mediadive.medium:535	biolink:ChemicalEntity	TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535)											
NCBITaxon:1962667	biolink:OrganismalEntity	Nannocystis sp.											
NCBITaxon:59813	biolink:OrganismalEntity	Mycolicibacterium novocastrense											
NCBITaxon:91891	biolink:OrganismalEntity	Legionella pneumophila subsp. pneumophila											
mediadive.medium:585	biolink:ChemicalEntity	BCYE-AGAR (DSMZ Medium 585)											
NCBITaxon:876	biolink:OrganismalEntity	Desulfovibrio desulfuricans											
NCBITaxon:83460	biolink:OrganismalEntity	Stigmatella erecta											
NCBITaxon:173041	biolink:OrganismalEntity	Pelagirhabdus fermentum											
mediadive.medium:931	biolink:ChemicalEntity	ALCALIPHILIC AMPHIBACILLUS STRAINS MEDIUM (DSMZ Medium 931)											
NCBITaxon:1409	biolink:OrganismalEntity	Bacillus sp. (in: firmicutes)											
NCBITaxon:2293571	biolink:OrganismalEntity	Streptomyces inhibens											
NCBITaxon:1134435	biolink:OrganismalEntity	Thauera humireducens											
NCBITaxon:1268254	biolink:OrganismalEntity	Peptoniphilus timonensis											
NCBITaxon:1176177	biolink:OrganismalEntity	Methylobacterium brachythecii											
NCBITaxon:29382	biolink:OrganismalEntity	Staphylococcus cohnii											
NCBITaxon:83462	biolink:OrganismalEntity	Corallococcus exiguus											
NCBITaxon:396322	biolink:OrganismalEntity	Desulfatiferula olefinivorans											
mediadive.medium:193	biolink:ChemicalEntity	DESULFOBACTER MEDIUM (DSMZ Medium 193)											
NCBITaxon:537013	biolink:OrganismalEntity	[Clostridium] methylpentosum DSM 5476											
mediadive.medium:492	biolink:ChemicalEntity	CLOSTRIDIUM METHYLPENTOSUM MEDIUM (DSMZ Medium 492)											
NCBITaxon:1960309	biolink:OrganismalEntity	Klenkia marina											
NCBITaxon:1960103	biolink:OrganismalEntity	Listeria sp.											
mediadive.medium:215	biolink:ChemicalEntity	BHI MEDIUM (DSMZ Medium 215)											
NCBITaxon:1199	biolink:OrganismalEntity	Phormidium sp.											
mediadive.medium:1593	biolink:ChemicalEntity	CYANOBACTERIA MEDIUM BG11+ (DSMZ Medium 1593)											
NCBITaxon:1872654	biolink:OrganismalEntity	Aurantimonas sp.											
NCBITaxon:1405	biolink:OrganismalEntity	Bacillus mycoides											
NCBITaxon:1550233	biolink:OrganismalEntity	Blastococcus fimeti											
mediadive.medium:714	biolink:ChemicalEntity	GEO-MEDIUM (DSMZ Medium 714)											
NCBITaxon:1470176	biolink:OrganismalEntity	Actinoalloteichus hoggarensis											
NCBITaxon:1082851	biolink:OrganismalEntity	Comamonas serinivorans											
NCBITaxon:1245591	biolink:OrganismalEntity	Mariniradius saccharolyticus											
mediadive.medium:514a	biolink:ChemicalEntity	HALF STRENGTH BACTO MARINE BROTH (DSMZ Medium 514a)											
NCBITaxon:1301100	biolink:OrganismalEntity	[Clostridium] dakarense											
