CHEBI:113532	CAS-RN:490-91-5
CHEBI:113552	CAS-RN:4940-39-0
CHEBI:113556	CAS-RN:552-79-4
CHEBI:114	CAS-RN:528-31-4
CHEBI:11412	CAS-RN:93527-39-0
CHEBI:114126	CAS-RN:10051-44-2
CHEBI:114195	CAS-RN:132-60-5
CHEBI:114203	CAS-RN:133-11-9
CHEBI:114248	CAS-RN:7093-67-6
CHEBI:114249	CAS-RN:10049-21-5
CHEBI:114785	CAS-RN:183321-74-6
CHEBI:114786	CAS-RN:7681-57-4
CHEBI:1148	CAS-RN:600-15-7
CHEBI:114954	CAS-RN:24276-84-4
CHEBI:115	CAS-RN:41743-86-6
CHEBI:115087	CAS-RN:5873-57-4
CHEBI:115156	CAS-RN:17013-01-3
CHEBI:115196	CAS-RN:934-34-9
CHEBI:115197	CAS-RN:2053-21-6
CHEBI:115239	CAS-RN:1619-34-7
CHEBI:1156	CAS-RN:362-06-1
CHEBI:11563	CAS-RN:17210-42-3
CHEBI:1157	CAS-RN:107-36-8
CHEBI:1159	CAS-RN:22987-21-9
CHEBI:116	CAS-RN:497-88-1
CHEBI:116225	CAS-RN:24526-64-5
CHEBI:116278	CAS-RN:98079-51-7
CHEBI:116314	CAS-RN:301-02-0
CHEBI:116509	CAS-RN:330-54-1
CHEBI:116735	CAS-RN:94-09-7
CHEBI:11684	CAS-RN:5817-39-0
CHEBI:116915	CAS-RN:539-03-7
CHEBI:116931	CAS-RN:498-95-3
CHEBI:116962	CAS-RN:95399-71-6
CHEBI:1177	CAS-RN:82345-58-2
CHEBI:118	CAS-RN:73793-85-8
CHEBI:1182	CAS-RN:86561-13-9
CHEBI:1184	CAS-RN:24740-88-3
CHEBI:1189	CAS-RN:362-08-3
CHEBI:119	CAS-RN:614-35-7
CHEBI:11909	CAS-RN:516-55-2
CHEBI:119486	CAS-RN:154598-52-4
CHEBI:11955	CAS-RN:352-21-6
CHEBI:119573	CAS-RN:136817-59-9
CHEBI:1196	CAS-RN:13364-95-9
CHEBI:11986	CAS-RN:102130-93-8
CHEBI:119915	CAS-RN:437-38-7
CHEBI:120	CAS-RN:61302-92-9
CHEBI:121196	CAS-RN:5016-18-2
CHEBI:1217	CAS-RN:615-22-5
CHEBI:122	CAS-RN:6159-66-6
CHEBI:1220	CAS-RN:78313-84-5
CHEBI:1221	CAS-RN:85438-98-8
CHEBI:1224	CAS-RN:607-57-8
CHEBI:12256	CAS-RN:13057-72-2
CHEBI:1228	CAS-RN:22172-17-4
CHEBI:123	CAS-RN:3187-52-8
CHEBI:1230	CAS-RN:20429-79-2
CHEBI:123115	CAS-RN:5355-16-8
CHEBI:12350	CAS-RN:19046-69-6
CHEBI:1237	CAS-RN:497-25-6
CHEBI:12387	CAS-RN:28553-11-9
CHEBI:124991	CAS-RN:153-61-7
CHEBI:125	CAS-RN:23089-26-1
CHEBI:125204	CAS-RN:16060-65-4
CHEBI:125354	CAS-RN:110078-46-1
CHEBI:125358	CAS-RN:33141-15-0
CHEBI:125469	CAS-RN:1721-93-3
CHEBI:125518	CAS-RN:53-18-9
CHEBI:125610	CAS-RN:1202-66-0
CHEBI:125612	CAS-RN:62732-44-9
CHEBI:125651	CAS-RN:2095-24-1
CHEBI:125678	CAS-RN:2494-12-4
CHEBI:126	CAS-RN:4370-85-8
CHEBI:126237	CAS-RN:41078-02-8
CHEBI:126598	CAS-RN:128312-51-6
CHEBI:127105	CAS-RN:87-10-5
CHEBI:127342	CAS-RN:83015-26-3
CHEBI:127780	CAS-RN:4428-95-9
CHEBI:128	CAS-RN:10482-56-1
CHEBI:128458	CAS-RN:15826-37-6
CHEBI:129	CAS-RN:6153-17-9
CHEBI:1294	CAS-RN:596-94-1
CHEBI:1296	CAS-RN:516-72-3
CHEBI:1301	CAS-RN:22348-64-7
CHEBI:13022	CAS-RN:3615-56-3
CHEBI:1307	CAS-RN:1449-09-8
CHEBI:130910	CAS-RN:179528-45-1
CHEBI:131146	CAS-RN:1183-35-3
CHEBI:131174	CAS-RN:923564-51-6
CHEBI:131182	CAS-RN:51298-62-5
CHEBI:131184	CAS-RN:524-95-8
CHEBI:131185	CAS-RN:76-09-5
CHEBI:131188	CAS-RN:54532-48-8
CHEBI:131190	CAS-RN:633-35-2
CHEBI:131194	CAS-RN:67-30-1
CHEBI:131196	CAS-RN:742112-33-0
CHEBI:131198	CAS-RN:65144-74-3
CHEBI:131199	CAS-RN:4433-85-6
CHEBI:131326	CAS-RN:749886-87-1
CHEBI:131330	CAS-RN:765-04-8
CHEBI:131331	CAS-RN:886-86-2
CHEBI:131338	CAS-RN:91918-35-3
CHEBI:131340	CAS-RN:52829-98-8
CHEBI:131344	CAS-RN:112-43-6
CHEBI:131351	CAS-RN:104615-18-1
CHEBI:131357	CAS-RN:41051-72-3
CHEBI:131358	CAS-RN:910487-58-0
CHEBI:131360	CAS-RN:4217-66-7
CHEBI:131361	CAS-RN:26970-82-1
CHEBI:131366	CAS-RN:1303-96-4
CHEBI:131369	CAS-RN:53723-19-6
CHEBI:131371	CAS-RN:10045-86-0
CHEBI:131376	CAS-RN:624-44-2
CHEBI:131383	CAS-RN:4390-04-9
CHEBI:131387	CAS-RN:43059-01-4
CHEBI:131388	CAS-RN:4435-50-1
CHEBI:131389	CAS-RN:144-23-0
CHEBI:131391	CAS-RN:3344-18-1
CHEBI:131392	CAS-RN:29269-83-8
CHEBI:131408	CAS-RN:557-30-2
CHEBI:131412	CAS-RN:2868-37-3
CHEBI:131414	CAS-RN:20121-96-4
CHEBI:131420	CAS-RN:4669-20-9
CHEBI:131421	CAS-RN:128-39-2
CHEBI:131424	CAS-RN:7743-94-4
CHEBI:131426	CAS-RN:63126-47-6
