subject	predicate	object	relation	provided_by
RHEA:10944	biolink:close_match	EC:3.1.3.96	skos:closeMatch	Rhea
RHEA:10948	biolink:close_match	EC:2.7.1.1	skos:closeMatch	Rhea
RHEA:10948	biolink:close_match	EC:2.7.1.8	skos:closeMatch	Rhea
RHEA:10952	biolink:close_match	EC:2.3.1.106	skos:closeMatch	Rhea
RHEA:10956	biolink:close_match	EC:1.14.13.14	skos:closeMatch	Rhea
RHEA:10960	biolink:close_match	EC:5.1.2.1	skos:closeMatch	Rhea
RHEA:10964	biolink:close_match	EC:2.7.1.17	skos:closeMatch	Rhea
RHEA:10968	biolink:close_match	EC:6.2.1.10	skos:closeMatch	Rhea
RHEA:10972	biolink:close_match	EC:2.7.1.62	skos:closeMatch	Rhea
RHEA:10976	biolink:close_match	EC:1.14.12.16	skos:closeMatch	Rhea
RHEA:10980	biolink:close_match	EC:5.1.1.18	skos:closeMatch	Rhea
RHEA:10984	biolink:close_match	EC:1.1.99.7	skos:closeMatch	Rhea
RHEA:10992	biolink:close_match	EC:1.1.1.79	skos:closeMatch	Rhea
RHEA:10996	biolink:close_match	EC:2.1.1.91	skos:closeMatch	Rhea
RHEA:11000	biolink:close_match	EC:3.5.1.77	skos:closeMatch	Rhea
RHEA:11004	biolink:close_match	EC:1.14.13.1	skos:closeMatch	Rhea
RHEA:11008	biolink:close_match	EC:3.1.3.33	skos:closeMatch	Rhea
RHEA:11012	biolink:close_match	EC:3.5.1.57	skos:closeMatch	Rhea
RHEA:11016	biolink:close_match	EC:3.5.3.4	skos:closeMatch	Rhea
RHEA:11020	biolink:close_match	EC:2.7.1.127	skos:closeMatch	Rhea
RHEA:11024	biolink:close_match	EC:2.7.3.8	skos:closeMatch	Rhea
RHEA:11028	biolink:close_match	EC:2.7.1.1	skos:closeMatch	Rhea
RHEA:11028	biolink:close_match	EC:2.7.1.7	skos:closeMatch	Rhea
RHEA:11032	biolink:close_match	EC:5.5.1.7	skos:closeMatch	Rhea
RHEA:11036	biolink:close_match	EC:7.6.2.9	skos:closeMatch	Rhea
RHEA:11040	biolink:close_match	EC:4.2.1.19	skos:closeMatch	Rhea
RHEA:11044	biolink:close_match	EC:3.8.1.3	skos:closeMatch	Rhea
RHEA:11048	biolink:close_match	EC:2.3.1.149	skos:closeMatch	Rhea
RHEA:11052	biolink:close_match	EC:1.14.13.27	skos:closeMatch	Rhea
RHEA:11056	biolink:close_match	EC:1.14.13.27	skos:closeMatch	Rhea
RHEA:11060	biolink:close_match	EC:6.1.1.5	skos:closeMatch	Rhea
RHEA:11064	biolink:close_match	EC:3.1.3.11	skos:closeMatch	Rhea
RHEA:11068	biolink:close_match	EC:3.2.1.107	skos:closeMatch	Rhea
RHEA:11072	biolink:close_match	EC:1.14.12.1	skos:closeMatch	Rhea
RHEA:11076	biolink:close_match	EC:1.14.12.1	skos:closeMatch	Rhea
RHEA:11080	biolink:close_match	EC:3.1.3.35	skos:closeMatch	Rhea
RHEA:11084	biolink:close_match	EC:4.1.1.34	skos:closeMatch	Rhea
RHEA:11088	biolink:close_match	EC:3.6.1.2	skos:closeMatch	Rhea
RHEA:11092	biolink:close_match	EC:1.1.1.8	skos:closeMatch	Rhea
RHEA:11092	biolink:close_match	EC:1.1.1.94	skos:closeMatch	Rhea
RHEA:11096	biolink:close_match	EC:1.1.1.94	skos:closeMatch	Rhea
RHEA:11100	biolink:close_match	EC:4.1.2.35	skos:closeMatch	Rhea
RHEA:11108	biolink:close_match	EC:2.8.2.17	skos:closeMatch	Rhea
RHEA:11112	biolink:close_match	EC:3.3.2.1	skos:closeMatch	Rhea
RHEA:11116	biolink:close_match	EC:2.3.1.57	skos:closeMatch	Rhea
RHEA:11120	biolink:close_match	EC:4.2.1.104	skos:closeMatch	Rhea
RHEA:11128	biolink:close_match	EC:2.3.1.156	skos:closeMatch	Rhea
RHEA:11128	biolink:close_match	EC:2.3.1.74	skos:closeMatch	Rhea
RHEA:11132	biolink:close_match	EC:1.3.1.33	skos:closeMatch	Rhea
RHEA:11136	biolink:close_match	EC:2.4.3.3	skos:closeMatch	Rhea
RHEA:11140	biolink:close_match	EC:5.4.2.8	skos:closeMatch	Rhea
RHEA:11148	biolink:close_match	EC:1.16.3.1	skos:closeMatch	Rhea
RHEA:11152	biolink:close_match	EC:1.14.13.241	skos:closeMatch	Rhea
RHEA:11156	biolink:close_match	EC:1.4.1.8	skos:closeMatch	Rhea
RHEA:11160	biolink:close_match	EC:2.6.1.76	skos:closeMatch	Rhea
RHEA:11164	biolink:close_match	EC:2.1.1.17	skos:closeMatch	Rhea
RHEA:11168	biolink:close_match	EC:1.1.1.259	skos:closeMatch	Rhea
RHEA:11172	biolink:close_match	EC:2.1.1.13	skos:closeMatch	Rhea
