tax_id	carbon_substrates
271417	acetate, arabinose, arginine, cellobiose, citrate, dextrin, fructose, galactose, glucose, glycerol, histidine, lactate, maltose, mannitol, mannose, N-acetylgulcosamine, salicin, sucrose, trehalose
648794	galactose, glycerol, glycogen, histidine, maltose, mannitol, proline, salicin, sucrose
648794	fructose, galactose, glucose, glycerol, glycogen, histidine, maltose, mannitol, mannose, N-acetylgulcosamine, proline, ribose, salicin, sucrose, trehalose, Tween 80
648794	cellobiose, citrate, fructose, galactose, glucose, glycerol, glycogen, histidine, maltose, mannitol, mannose, N-acetylgulcosamine, proline, ribose, salicin, sucrose, trehalose, Tween 80
633415	arabinose, caprate, glucose, malate, maltose, mannitol, mannose
328412	arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, sucrose, xylose
218936	cellobiose, fructose, galactose, glucose, glycerol, glycogen, maltose, mannose, N-acetylgulcosamine, ribose, sucrose, trehalose
633417	arabinose, caprate, glucose, glycogen, malate, mannitol, mannose
226011	acetate, arginine, gelatin, glucose, leucine, N-acetylgulcosamine, ribose, sucrose, Tween 80
582857	fructose, glucose
226010	acetate, arginine, ethanol, galactose, gelatin, glycine, leucine, N-acetylgulcosamine, ornithine, ribose, sorbitol, succinate, Tween 80
1028745	acetate, alanine, alaninamide, alanine, alpha-cyclodextrin, arabinose, asparagine, aspartate, dextrin, fructose, galactose, glucose, glutamate, histidine, hyrdoxyproline, lactate, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, ornithine, phenylalanine, proline, raffinose, serine, sucrose, threonine, Tween 20, uridine, urocanic acid
396389	cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, raffinose, rhamnose, salicin, sorbitol, sucrose, trehalose, Tween 20, Tween 40, Tween 60, Tween 80, xylose
591372	acetate, arabinose, galactose, galacturonic acid, glucose, proline, propionate, pyruvic acid methyl ester
182262	glucose, maltose, mannitol, xylose
680279	arabinose, galactose, glycogen, lactose, mannose, salicin, xylose
680279	arabinose, cellobiose, fructose, galactose, glucose, glycogen, lactose, maltose, mannitol, mannose, N-acetylgulcosamine, salicin, sucrose, xylose
343512	glucose, mannose, Tween 80
399736	glucose, malate, maltose, mannitol, mannose, N-acetylgulcosamine
341722	dextrin, fructose, glycerol, rhamnose, trehalose
574649	arabinose, gluconic acid, malate, mannitol, mannose
574649	arabinose, gluconic acid, malate, mannitol, mannose
501482	arabinose, dextrin, fructose, gluconic acid, glucose, glycerol, mannose, N-acetylgulcosamine, sucrose, trehalose, xylose
44255	2-ketogluconate, 3-hydroxybenzoate, 3-hydroxybutyrate, 3-hydroxybenzoate, 5-ketogluconate, acetate, adipate, arabinose, citrate, fucose, galactose, gluconic acid, glucose, lactate, malate, mannitol, mannose, propionate, pyruvate, rhamnose, ribose, suberic acid, succinate, valerate, xylose
393607	arabinose, cellobiose, fructose, galactose, glucose, lactose, malate, maltose, mannose, melibiose, rhamnose, ribose, salicin, succinate, sucrose, trehalose, xylose
592376	acetate, cellobiose, dextrin, fructose, galactose, gluconic acid, glucose, glycerol, glycogen, lactose, maltose, mannitol, mannose, pyruvate, ribose, salicin, sucrose, trehalose, xylose
592376	acetate, cellobiose, dextrin, fructose, galactose, gluconic acid, glucose, glycerol, glycogen, inosine, lactose, maltose, mannitol, mannose, pyruvate, pyruvic acid methyl ester, ribose, salicin, sucrose, thymidine, trehalose, Tween 40, Tween 80, uridine, xylose
1308924	5-ketogluconate, cellobiose, galactose, glucose, glycerol, glycogen, maltose, mannose, rhamnose, salicin
279573	arabinose, galactose, gelatin, glucose, glycerol, malate, mannitol, raffinose, rhamnose, succinate, sucrose
